
Rank	First Name	Last Name	Team	rect	shoes	split	Day 1	line	vision	walk	Day2	Global
208	Steven	Reyes	PHL	50	65	18	133	11.64	66	0	77.64	210.64
209	Dion Stephan	Ong	PHL	50	65	18	133	36.11	41	0	77.11	210.11
210	Áron	Noszály	HUN	10	100	40	150	26.63	33	0	59.63	209.63
211	Tuukka	Yildirim	FIN	38	45	18	101	53.53	52	0	105.53	206.53
212	Brayan	Duran Medina	CUB	50	65	40	155	36.07	14	0	50.07	205.07
213	Mamnoon	Siam	BGD	37	65	18	120	43.89	41	0	84.89	204.89
214	Charalampos	Georgiou	CYP	25	85	40	150	2.6	52	0	54.6	204.6
215	Oscar	Sierra	COL	0	100	0	100	52.08	52	0	104.08	204.08
216	Zhiyi	Luo	BEL	50	45	18	113	39.68	41	10	90.68	203.68
217	Justas	Želnia	LTU	50	100	11	161	0	41	0	41	202
218	Claudiu	Babin	MDA	0	25	40	65	70.32	66	0	136.32	201.32
219	Admir	Zatega	BIH	37	100	18	155	12.33	33	0	45.33	200.33
220	Christopher	Burckhardt	CHE	18	100	18	136	12	52	0	64	200
220	Caolan	Fleming	IRL	37	85	0	122	12	66	0	78	200
222	Euan	Ong	GBR	15	45	18	78	44.49	66	10	120.49	198.49
223	José Ángel	Cázares Torres	MEX	50	45	40	135	11	52	0	63	198
224	Izan	Beltrán Ferreiro	ESP	50	65	7	122	24.44	41	10	75.44	197.44
225	Mikołaj	Stępiński	POL	38	65	40	143	0	54	0	54	197
226	Anouar	Achghaf	MAR	0	100	0	100	43.71	52	0	95.71	195.71
227	Anay	Karnik	IND	0	100	29	129	0	66	0	66	195
228	Luis	Bahners	DEU	27	45	40	112	6.33	66	10	82.33	194.33
229	Pedro	Lucas Lanaro Sponchiado	BRA	15	85	18	118	12	52	10	74	192
230	Jaagup	Tamme	EST	37	45	18	100	37.58	41	10	88.58	188.58
231	Angelos	Assos	CYP	8	100	11	119	12	55	0	67	186
232	Mirbek	Bakirov	KGZ	23	100	40	163	12	0	10	22	185
233	David	Nassauer	PRT	25	65	18	108	19.35	55	0	74.35	182.35
234	Shenal Santhush	Kotuwewatta	LKA	25	85	0	110	19	52	0	71	181
235	Hasan	Khadra	SYR	37	45	40	122	47.34	0	10	57.34	179.34
236	Turbat	Enkhbat	MNG	37	65	11	113	12	52	0	64	177
237	Hazem	Issa	EGY	10	45	33	88	35.91	52	0	87.91	175.91
238	Cesar	Diaz	COL	0	50	18	68	54.93	52	0	106.93	174.93
239	Omar	Besbes	TUN	37	65	7	109	12.33	52	0	64.33	173.33
240	Fan Meng	Hong	MAC	37	25	18	80	52.03	41	0	93.03	173.03
241	Gijs	Pennings	NLD	0	65	11	76	53.95	41	0	94.95	170.95
242	Robin	Gugel	AUT	50	25	18	93	25.76	52	0	77.76	170.76
243	Amin	Jalilov	AZE2	0	65	0	65	53.35	52	0	105.35	170.35
244	Ivan	Solovyev	NZL	0	100	18	118	0	52	0	52	170
245	José Rodrigo	Santamaría	SLV	37	10	18	65	52.62	52	0	104.62	169.62
246	Kai Seng	Ho	MAC	10	45	18	73	52.92	41	0	93.92	166.92
247	Davit	Khvedelidze	GEO	27	10	40	77	68	21	0	89	166
248	Farhad	Azimov	AZE	37	45	7	89	34.01	41	0	75.01	164.01
249	Annejan	van den Dool	NLD	0	100	18	118	0	46	0	46	164
250	Mahmoud	Adel	EGY	0	45	40	85	36.07	41	0	77.07	162.07
251	Eik	Hvattum Røgeberg	NOR	0	85	18	103	45.47	0	10	55.47	158.47
252	Diego	Salas	CHL	37	45	18	100	0	58	0	58	158
253	Ignacio	Muñoz	CHL	10	45	0	55	0	100	0	100	155
254	Rafik	Hachana	TUN	8	65	18	91	12	41	10	63	154
254	Kosta	Vukicevic	MNE	18	65	18	101	12	41	0	53	154
256	Thomas	Kaar	AUT	37	45	18	100	12.33	41	0	53.33	153.33
